model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Roomster,2012,5290,Manual,54000,Petrol,145,49.6,1.2
 Octavia,2017,12490,Automatic,12000,Petrol,30,58.9,1.4
 Octavia,2013,6990,Automatic,82000,Diesel,30,62.8,2.0
 Superb,2019,26500,Automatic,3039,Petrol,145,38.2,2.0
 Octavia,2019,14650,Automatic,14046,Petrol,145,57.7,1.0
 Kodiaq,2018,20250,Manual,29298,Petrol,145,40.9,1.4
 Yeti Outdoor,2017,13550,Automatic,21650,Petrol,150,51.4,1.2
 Superb,2019,24000,Automatic,15,Petrol,150,38.2,2.0
 Fabia,2017,9150,Manual,20193,Petrol,150,64.2,1.0
 Octavia,2019,14900,Automatic,14271,Diesel,150,70.6,1.6
 Fabia,2019,14000,Automatic,8193,Petrol,150,60.1,1.0
 Octavia,2019,14850,Automatic,12069,Diesel,145,70.6,1.6
 Fabia,2019,13250,Manual,6649,Petrol,150,60.1,1.0
 Yeti Outdoor,2017,13495,Automatic,22098,Petrol,125,51.4,1.2
 Fabia,2016,9950,Automatic,42000,Petrol,20,60.1,1.2
 Superb,2012,5790,Manual,76000,Diesel,30,64.2,1.6
 Fabia,2011,2795,Manual,80000,Diesel,20,67.3,1.6
 Fabia,2019,12490,Manual,7500,Petrol,145,61.4,1.0
 Kamiq,2020,19790,Automatic,5000,Petrol,145,44.1,1.5
 Superb,2017,13000,Automatic,31312,Petrol,150,55.4,1.4
 Superb,2019,18490,Manual,12008,Petrol,150,40.9,1.5
 Fabia,2017,11290,Automatic,10203,Petrol,150,60.1,1.2
 Octavia,2019,12690,Manual,13881,Petrol,150,60.1,1.0
 Fabia,2019,9590,Manual,7148,Petrol,150,57.7,1.0
 Fabia,2017,11490,Automatic,2000,Petrol,145,61.4,1.0
 Octavia,2014,8490,Automatic,68000,Diesel,20,72.4,1.6
 Fabia,2019,11490,Manual,7,Petrol,145,51.4,1.0
 Octavia,2019,15790,Automatic,3327,Diesel,145,72.4,1.6
 Fabia,2019,11490,Manual,5,Petrol,145,51.4,1.0
 Octavia,2019,16490,Automatic,13,Diesel,145,72.4,1.6
 Fabia,2015,6000,Manual,51878,Petrol,20,58.8,1.0
 Fabia,2015,10000,Automatic,20200,Petrol,20,60.1,1.2
 Octavia,2012,7995,Manual,65900,Diesel,160,49.6,2.0
 Octavia,2015,8399,Manual,61500,Diesel,0,74.3,1.6
 Octavia,2019,20500,Automatic,6750,Petrol,145,35.8,2.0
 Octavia,2019,18000,Manual,4150,Petrol,145,50.4,1.5
 Fabia,2019,14950,Manual,2750,Petrol,145,51.4,1.0
 Octavia,2019,19150,Automatic,3150,Diesel,145,67.3,2.0
 Kodiaq,2019,29750,Automatic,2150,Petrol,145,31.7,2.0
 Octavia,2019,14650,Automatic,12638,Petrol,145,57.7,1.0
 Octavia,2019,14650,Automatic,13892,Petrol,145,57.7,1.0
 Octavia,2019,18998,Semi-Auto,25,Diesel,145,67.3,2.0
 Superb,2017,12295,Semi-Auto,33571,Diesel,145,70.6,1.6
 Yeti Outdoor,2014,10995,Manual,58281,Diesel,160,49.6,2.0
 Karoq,2019,20498,Manual,101,Diesel,145,50.4,2.0
 Fabia,2017,8995,Manual,22154,Petrol,145,60.1,1.2
 Octavia,2015,8698,Manual,47000,Diesel,0,74.3,1.6
 Yeti Outdoor,2016,9998,Manual,52236,Diesel,200,48.7,2.0
 Yeti Outdoor,2016,9698,Manual,58551,Diesel,200,47.9,2.0
 Fabia,2016,7298,Manual,21732,Petrol,20,60.1,1.2
 Superb,2019,17798,Manual,13645,Diesel,145,65.7,2.0
 Yeti Outdoor,2016,12798,Manual,11361,Petrol,125,51.4,1.2
 Fabia,2017,11650,Semi-Auto,3700,Petrol,145,61.4,1.0
 Fabia,2018,9298,Manual,6259,Petrol,145,57.7,1.0
 Scala,2019,15998,Semi-Auto,2355,Petrol,145,47.1,1.0
 Fabia,2017,11998,Semi-Auto,21075,Petrol,145,61.4,1.0
 Octavia,2018,11998,Manual,15783,Diesel,145,68.9,1.6
 Yeti Outdoor,2017,13998,Semi-Auto,23339,Petrol,125,51.4,1.2
 Fabia,2017,7498,Manual,26226,Petrol,145,64.2,1.0
 Superb,2016,10498,Manual,77501,Diesel,20,68.9,2.0
 Octavia,2014,11995,Manual,47381,Petrol,160,45.6,2.0
 Citigo,2014,4295,Manual,19367,Petrol,0,68.9,1.0
 Fabia,2017,7995,Manual,49711,Petrol,20,60.1,1.2
 Kodiaq,2018,19995,Manual,10840,Diesel,145,52.3,2.0
 Octavia,2019,16995,Semi-Auto,5906,Petrol,145,55.4,1.5
 Scala,2019,14995,Manual,2250,Petrol,145,49.6,1.0
 Scala,2019,15490,Manual,5,Petrol,145,49.6,1.0
 Superb,2017,17500,Manual,20160,Petrol,145,54.3,1.4
 Fabia,2019,14495,Manual,5736,Petrol,145,60.1,1.0
 Citigo,2017,6595,Manual,25575,Petrol,0,67.3,1.0
 Yeti Outdoor,2016,12498,Semi-Auto,17148,Petrol,125,51.4,1.2
 Superb,2017,16498,Manual,18317,Petrol,30,56.5,1.4
 Fabia,2016,11998,Semi-Auto,13518,Petrol,20,60.1,1.2
